Symbol,Series,Name,Band,Remarks
APS,ST,Australian Premium Solar (India) Limited,2,"-"
CADSYS,ST,Cadsys (India) Limited,2,"-"
CMMIPL,ST,CMM Infraprojects Limited,2,"-"
ENSER,ST,Enser Communications Limited,2,"-"
ESFL,ST,Essen Speciality Films Limited,2,"-"
SEL,ST,Sungarner Energies Limited,2,"-"
SPRL,ST,SP REFRACTORIES LIMITED,2,"-"
VINYAS,ST,Vinyas Innovative Technologies Limited,2,"-"
3RDROCK,IT,3rd Rock Multimedia Limited,5,"-"
ABCOTS,ST,A B Cotspin India Limited,5,"-"
ABINFRA,ST,A B Infrabuild Limited,5,"-"
ACCORD,SM,Accord Synergy Limited,5,"-"
ACSAL,ST,Arvind and Company Shipping Agencies Limited,5,"-"
AGARWALFT,SM,Agarwal Float Glass India Limited,5,"-"
AGUL,SM,A G Universal Limited,5,"-"
AHIMSA,ST,Ahimsa Industries Limited,5,"-"
AILIMITED,ST,Abhishek Integrations Limited,5,"-"
AIMTRON,ST,Aimtron Electronics Limited,5,"-"
AISL,ST,ANI Integrated Services Limited,5,"-"
AKANKSHA,SM,Akanksha Power and Infrastructure Limited,5,"-"
ALPEXSOLAR,SM,Alpex Solar Limited,5,"-"
ALUWIND,ST,Aluwind Architectural Limited,5,"-"
AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED,5,"-"
AMEYA,ST,Ameya Precision Engineers Limited,5,"-"
ANLON,SM,Anlon Technology Solutions Limited,5,"-"
ARIHANTACA,ST,Arihant Academy Limited,5,"-"
ASCOM,ST,Ascom Leasing & Investments Limited,5,"-"
ASLIND,SM,ASL Industries Limited,5,"-"
ATMASTCO,ST,Atmastco Limited,5,"-"
AVPINFRA,ST,AVP Infracon Limited,5,"-"
AVSL,ST,AVSL Industries Limited,5,"-"
BALCO,ST,Solve Plastic Products Limited,5,"-"
BASILIC,SM,Basilic Fly Studio Limited,5,"-"
BDR,IT,BDR Buildcon Limited,5,"-"
BIRDYS,SM,Grill Splendour Services Limited,5,"-"
CANARYS,SM,Canarys Automations Limited,5,"-"
CELLECOR,ST,Cellecor Gadgets Limited,5,"-"
CLOUD,ST,Varanium Cloud Limited,5,"-"
CMNL,ST,Chaman Metallics Limited,5,"-"
CMRSL,SM,Cyber Media Research & Services Limited,5,"-"
CONTI,ST,Continental Seeds and Chemicals Limited,5,"-"
COOLCAPS,ST,Cool Caps Industries Limited,5,"-"
CPS,ST,C P S Shapers Limited,5,"-"
DCG,SM,DCG Cables & Wires Limited,5,"-"
DESTINY,ST,Destiny Logistics & Infra Limited,5,"-"
DHTL,ST,Docmode Health Technologies Limited,5,"-"
DIGIKORE,SM,Digikore Studios Limited,5,"-"
DRL,SM,Dhanuka Realty Limited,5,"-"
DRONE,ST,Drone Destination Limited,5,"-"
DRSCARGO,ST,DRS Cargo Movers Limited,5,"-"
DRSDILIP,ST,DRS Dilip Roadlines Limited,5,"-"
DUCOL,SM,Ducol Organics And Colours Limited,5,"-"
DYNAMIC,ST,Dynamic Services & Security Limited,5,"-"
EFFWA,ST,Effwa Infra & Research Limited,5,"-"
ENFUSE,SM,Enfuse Solutions Limited,5,"-"
ESCONET,ST,Esconet Technologies Limited,5,"-"
FELIX,ST,Felix Industries Limited,5,"-"
FOCE,ST,Foce India Limited,5,"-"
GAJANAND,ST,Gajanand International Limited,5,"-"
GIRRESORTS,IT,GIR Natureview Resorts Limited,5,"-"
GOLDKART,ST,Goldkart Jewels Limited,5,"-"
GRAPHISAD,ST,Graphisads Limited,5,"-"
GRCL,ST,Gayatri Rubbers And Chemicals Limited,5,"-"
GRETEX,ST,Gretex Industries Limited,5,"-"
GSMFOILS,ST,GSM Foils Limited,5,"-"
GSTL,SM,Globesecure Technologies Limited,5,"-"
HIGREEN,ST,Hi-Green Carbon Limited,5,"-"
HOMESFY,SM,Homesfy Realty Limited,5,"-"
HRHNEXT,ST,HRH Next Services Limited,5,"-"
HVAX,ST,HVAX Technologies Limited,5,"-"
IBLFL,ST,IBL Finance Limited,5,"-"
INFINIUM,ST,Infinium Pharmachem Limited,5,"-"
INFOLLION,SM,INFOLLION RESEARCH SERVICES LIMITED,5,"-"
ISHAN,ST,Ishan International Limited,5,"-"
ITALIANE,ST,Italian Edibles Limited,5,"-"
JAKHARIA,ST,JAKHARIA FABRIC LIMITED,5,"-"
JALAN,SM,Jalan Transolutions (India) Limited,5,"-"
JETKNIT,ST,Jet Knitwears Limited,5,"-"
JFLLIFE,SM,Jfl Life Sciences Limited,5,"-"
K2INFRA,SM,K2 Infragen Limited,5,"-"
KANDARP,ST,Kandarp Digi Smart Bpo Limited,5,"-"
KARNIKA,ST,Karnika Industries Limited,5,"-"
KCEIL,SM,Kay Cee Energy & Infra Limited,5,"-"
KCK,ST,Kck Industries Limited,5,"-"
KDL,ST,Kore Digital Limited,5,"-"
KEL,ST,Kundan Edifice Limited,5,"-"
KKVAPOW,SM,KKV Agro Powers Limited,5,"-"
KNAGRI,SM,Kn Agri Resources Limited,5,"-"
KONTOR,ST,Kontor Space Limited,5,"-"
KORE,SM,Jay Jalaram Technologies Limited,5,"-"
KRISHCA,SM,Krishca Strapping Solutions Limited,5,"-"
KRISHIVAL,SM,Krishival Foods Limited,5,"-"
KRISHNADEF,ST,Krishna Defence And Allied Industries Limited,5,"-"
KTL,ST,Kalahridhaan Trendz Limited,5,"-"
LEMERITE,ST,Le Merite Exports Limited,5,"-"
LRRPL,ST,Lead Reclaim And Rubber Products Limited,5,"-"
MAITREYA,ST,Maitreya Medicare Limited,5,"-"
MAKS,SM,Maks Energy Solutions India Limited,5,"-"
MANAV,SM,Manav Infra Projects Limited,5,"-"
MANDEEP,SM,Mandeep Auto Industries Limited,5,"-"
MASTER,ST,Master Components Limited,5,"-"
MCON,SM,Mcon Rasayan India Limited,5,"-"
MEDIORG,ST,Medicamen Organics Limited,5,"-"
MEGAFLEX,ST,Mega Flex Plastics Limited,5,"-"
MEGATHERM,SM,Megatherm Induction Limited,5,"-"
MIEL,ST,Manglam Infra & Engineering Limited,5,"-"
MILTON,SM,Milton Industries Limited,5,"-"
MINDPOOL,ST,Mindpool Technologies Limited,5,"-"
MONOPHARMA,SM,Mono Pharmacare Limited,5,"-"
MOS,ST,Mos Utility Limited,5,"-"
MOXSH,SM,Moxsh Overseas Educon Limited,5,"-"
MPTODAY,SM,Madhya Pradesh Today Media Limited,5,"-"
NAMAN,ST,Naman In-Store (India) Limited,5,"-"
NEPHROCARE,ST,Nephro Care India Limited,5,"-"
NIRMAN,ST,Nirman Agri Genetics Limited,5,"-"
NPST,SM,Network People Services Technologies Limited,5,"-"
OLIL,SM,Oneclick Logistics India Limited,5,"-"
OMFURN,SM,Omfurn India Limited,5,"-"
PARAMOUNT,ST,Paramount Dye Tec Limited,5,"-"
PARIN,ST,Parin Furniture Limited,5,"-"
PASHUPATI,ST,Pashupati Cotspin Limited,5,"-"
PATTECH,ST,Pattech Fitwell Tube Components Limited,5,"-"
PRANIK,ST,PRANIK LOGISTICS LIMITED,5,"-"
PRATHAM,ST,Pratham EPC Projects Limited,5,"-"
PRITIKA,ST,Pritika Engineering Components Limited,5,"-"
PRIZOR,ST,Prizor Viztech Limited,5,"-"
PROLIFE,SM,Prolife Industries Limited,5,"-"
PULZ,ST,Pulz Electronics Limited,5,"-"
QFIL,SM,Quality Foils (India) Limited,5,"-"
QUADPRO,SM,Quadpro Ites Limited,5,"-"
QVCEL,ST,QVC Exports Limited,5,"-"
RBMINFRA,ST,Rbm Infracon Limited,5,"-"
REFRACTORY,ST,Refractory Shapes Limited,5,"-"
REXPIPES,SM,Rex Pipes And Cables Industries Limited,5,"-"
RICHA,SM,Richa Info Systems Limited,5,"-"
RILINFRA,ST,Rachana Infrastructure Limited,5,"-"
RMDRIP,ST,R M Drip and Sprinklers Systems Limited,5,"-"
RULKA,SM,Rulka Electricals Limited,5,"-"
SAAKSHI,SM,Saakshi Medtech and Panels Limited,5,"-"
SAHAJSOLAR,ST,Sahaj Solar Limited,5,"-"
SAJHOTELS,ST,Saj Hotels Limited,5,"-"
SANGANI,ST,SANGANI HOSPITALS LIMITED,5,"-"
SATECH,ST,S A Tech Software India Limited,5,"-"
SECL,SM,Salasar Exteriors And Contour Limited,5,"-"
SHAIVAL,ST,Shaival Reality Limited,5,"-"
SHIVAUM,ST,Shiv Aum Steels Limited,5,"-"
SHREEKARNI,SM,Shree Karni Fabcom Limited,5,"-"
SHUBHLAXMI,ST,Shubhlaxmi Jewel Art Limited,5,"-"
SHUBHSHREE,ST,Shubhshree Biofuels Energy Limited,5,"-"
SIDDHIKA,SM,Siddhika Coatings Limited,5,"-"
SILKFLEX,ST,Silkflex Polymers (India) Limited,5,"-"
SJLOGISTIC,ST,S J Logistics (India) Limited,5,"-"
SLONE,SM,Slone Infosystems Limited,5,"-"
SMVD,SM,SMVD Poly Pack Limited,5,"-"
SOLEX,SM,Solex Energy Limited,5,"-"
SONUINFRA,SM,Sonu Infratech Limited,5,"-"
SOTAC,SM,Sotac Pharmaceuticals Limited,5,"-"
SSEGL,ST,Sathlokhar Synergys E&C Global Limited,5,"-"
SSFL,ST,Srivari Spices And Foods Limited,5,"-"
SUPREMEPWR,ST,Supreme Power Equipment Limited,5,"-"
SWARAJ,ST,Swaraj Suiting Limited,5,"-"
TAC,ST,TAC Infosec Limited,5,"-"
TAPIFRUIT,SM,Tapi Fruit Processing Limited,5,"-"
TBI,ST,TBI Corn Limited,5,"-"
TECHLABS,SM,Trident Techlabs Limited,5,"-"
TGL,ST,Teerth Gopicon Limited,5,"-"
TIMESCAN,SM,Timescan Logistics (India) Limited,5,"-"
TRANSWIND,ST,Transwind Infrastructures Limited,5,"-"
TRUST,SM,Trust Fintech Limited,5,"-"
URBAN,ST,Urban Enviro Waste Management Limited,5,"-"
UTSSAV,ST,Utssav CZ Gold Jewels Limited,5,"-"
UWCSL,SM,Ultra Wiring Connectivity System Limited,5,"-"
VASA,SM,Vasa Retail and Overseas Ltd,5,"-"
VEEKAYEM,ST,Veekayem Fashion And Apparels Limited,5,"-"
VELS,SM,Vels Film International Limited,5,"-"
VERA,SM,Vera Synthetic Limited,5,"-"
VERTEXPLUS,SM,Vertexplus Technologies Limited,5,"-"
VIAZ,SM,Viaz Tyres Limited,5,"-"
VILAS,SM,Vilas Transcore Limited,5,"-"
VISHNUINFR,ST,Vishnusurya Projects and Infra Limited,5,"-"
VITAL,SM,Vital Chemtech Limited,5,"-"
VIVIANA,ST,Viviana Power Tech Limited,5,"-"
VIVO,ST,Vivo Collaboration Solutions Limited,5,"-"
VLINFRA,ST,V.L.Infraprojects Limited,5,"-"
VMARCIND,ST,V Marc India Limited,5,"-"
VR,ST,V R Infraspace Limited,5,"-"
VSCL,SM,Vadivarhe Speciality Chemicals Limited,5,"-"
WOMANCART,ST,Womancart Limited,5,"-"
YUDIZ,SM,Yudiz Solutions Limited,5,"-"
ZENITHDRUG,ST,Zenith Drugs Limited,5,"-"
ZTECH,ST,Z-Tech (India) Limited,5,"-"
AGNI,SM,Agni Green Power Limited,10,"-"
BAHETI,SM,Baheti Recycling Industries Limited,10,"-"
BLUEPEBBLE,SM,Blue Pebble Limited,10,"-"
BMETRICS,SM,Bombay Metrics Supply Chain Limited,10,"-"
CGRAPHICS,SM,Creative Graphics Solutions India Limited,10,"-"
DKEGL,SM,D.K. Enterprises Global Limited,10,"-"
EMMIL,SM,Energy Mission Machineries (India) Limited,10,"-"
GICL,SM,Globe International Carriers Limited,10,"-"
JSLL,SM,Jeena Sikho Lifecare Limited,10,"-"
KODYTECH,SM,Kody Technolab Limited,10,"-"
ORIANA,SM,Oriana Power Limited,10,"-"
OWAIS,SM,Owais Metal And Mineral Processing Limited,10,"-"
PRAMARA,SM,Pramara Promotions Limited,10,"-"
SAIFL,SM,Sameera Agro And Infra Limited,10,"-"
SARTELE,SM,Sar Televenture Limited,10,"-"
SHEETAL,SM,Sheetal Universal Limited,10,"-"
SHIGAN,SM,Shigan Quantum Technologies Limited,10,"-"
SPECTRUM,SM,Spectrum Electrical Industries Limited,10,"-"
TECHERA,SM,TechEra Engineering (India) Limited,10,"-"
TIRUPATI,SM,Shree Tirupati Balajee FIBC Limited,10,"-"
VERITAAS,SM,Veritaas Advertising Limited,10,"-"
WALPAR,SM,Walpar Nutritions Limited,10,"-"
AATMAJ,SM,Aatmaj Healthcare Limited,20,"-"
ABNINT,IT,A B N Intercorp Limited,20,"-"
ABSMARINE,SM,ABS Marine Services Limited,20,"-"
ACCENTMIC,SM,Accent Microcell Limited,20,"-"
AERON,SM,Aeron Composite Limited,20,"-"
AESTHETIK,SM,Aesthetik Engineers Limited,20,"-"
AKIKO,SM,Akiko Global Services Limited,20,"-"
ALLETEC,SM,All E Technologies Limited,20,"-"
AMBEY,SM,Ambey Laboratories Limited,20,"-"
AMIABLE,SM,Amiable Logistics (India) Limited,20,"-"
AMJUMBO,SM,A and M Jumbo Bags Limited,20,"-"
ANNAPURNA,SM,Annapurna Swadisht Limited,20,"-"
APRAMEYA,SM,Aprameya Engineering Limited,20,"-"
ARABIAN,SM,Arabian Petroleum Limited,20,"-"
ARHAM,SM,Arham Technologies Limited,20,"-"
ARISTO,SM,Aristo Bio-Tech And Lifescience Limited,20,"-"
ASHALOG,SM,Ashapura Logistics Limited,20,"-"
ASPIRE,SM,Aspire & Innovative Advertising Limited,20,"-"
AURDIS,SM,Aurangabad Distillery Limited,20,"-"
AUROIMPEX,SM,Auro Impex & Chemicals Limited,20,"-"
AUSL,SM,Aditya Ultra Steel Limited,20,"-"
AVIANSH,SM,Avi Ansh Textile Limited,20,"-"
BABAFP,SM,Baba Food Processing (India) Limited,20,"-"
BAWEJA,SM,Baweja Studios Limited,20,"-"
BEACON,SM,Beacon Trusteeship Limited,20,"-"
BETA,SM,Beta Drugs Limited,20,"-"
BEWLTD,SM,BEW Engineering Limited,20,"-"
BHALCHANDR,IT,Bhalchandram Clothing Limited,20,"-"
BIKEWO,SM,Bikewo Green Tech Limited,20,"-"
BOSS,SM,Boss Packaging Solutions Limited,20,"-"
BRACEPORT,SM,Brace Port Logistics Limited,20,"-"
BULKCORP,SM,Bulkcorp International Limited,20,"-"
CBAZAAR,SM,Net Avenue Technologies Limited,20,"-"
CELLPOINT,SM,Cell Point (India) Limited,20,"-"
CHAVDA,SM,Chavda Infra Limited,20,"-"
CHETANA,SM,Chetana Education Limited,20,"-"
CLSL,SM,Crop Life Science Limited,20,"-"
COMMITTED,SM,Committed Cargo Care Limited,20,"-"
CRAYONS,SM,Crayons Advertising Limited,20,"-"
DECCANTRAN,SM,Deccan Transcon Leasing Limited,20,"-"
DEEM,SM,Deem Roll Tech Limited,20,"-"
DELAPLEX,SM,Delaplex Limited,20,"-"
DENEERS,SM,De Neers Tools Limited,20,"-"
DENTALKART,SM,Vasa Denticity Limited,20,"-"
DHARIWAL,SM,Dhariwalcorp Limited,20,"-"
DIVYADHAN,SM,DIVYADHAN RECYCLING INDUSTRIES LIMITED,20,"-"
DOLLEX,SM,Dollex Agrotech Limited,20,"-"
DPEL,SM,Divine Power Energy Limited,20,"-"
DTL,SM,Diensten Tech Limited,20,"-"
DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED,20,"-"
DURLAX,SM,Durlax Top Surface Limited,20,"-"
EFACTOR,SM,E Factor Experiences Limited,20,"-"
EFORCE,SM,Electro Force (India) Limited,20,"-"
EMKAYTOOLS,SM,Emkay Taps and Cutting Tools Limited,20,"-"
ENVIRO,SM,Envirotech Systems Limited,20,"-"
ESPRIT,SM,Esprit Stones Limited,20,"-"
EUROBOND,SM,Euro Panel Products Limited,20,"-"
EXCELLENT,SM,Excellent Wires and Packaging Limited,20,"-"
FALCONTECH,SM,Falcon Technoprojects India Limited,20,"-"
FIDEL,SM,Fidel Softech Limited,20,"-"
FONEBOX,SM,Fonebox Retail Limited,20,"-"
FORCAS,SM,Forcas Studio Limited,20,"-"
FORGEAUTO,SM,FORGE AUTO INTERNATIONAL LIMITED,20,"-"
FROG,SM,Frog Cellsat Limited,20,"-"
GGBL,SM,Ganesh Green Bharat Limited,20,"-"
GIRIRAJ,SM,Giriraj Civil Developers Limited,20,"-"
GLOBALPET,SM,Global Pet Industries Limited,20,"-"
GOLDSTAR,SM,Goldstar Power Limited,20,"-"
GOYALSALT,SM,Goyal Salt Limited,20,"-"
GPECO,SM,GP Eco Solutions India Limited,20,"-"
GREENCHEF,SM,Greenchef Appliances Limited,20,"-"
HOACFOODS,SM,Hoac Foods India Limited,20,"-"
HOLMARC,SM,Holmarc Opto-Mechatronics Limited,20,"-"
IDEALTECHO,SM,Ideal Technoplast Industries Limited,20,"-"
IEML,SM,Indian Emulsifiers Limited,20,"-"
INDIFRA,SM,Indifra Limited,20,"-"
INM,SM,Interiors & More Limited,20,"-"
INNOMET,SM,Innomet Advanced Materials Limited,20,"-"
INNOVANA,SM,Innovana Thinklabs Limited,20,"-"
INSPIRE,SM,Inspire Films Limited,20,"-"
IPHL,SM,Indian Phosphate Limited,20,"-"
IPSL,SM,Integrated Personnel Services Limited,20,"-"
JAINAM,SM,Jainam Ferro Alloys (I) Limited,20,"-"
JAYBEE,SM,Jay Bee Laminations Limited,20,"-"
JEYYAM,SM,Jeyyam Global Foods Limited,20,"-"
JIWANRAM,SM,Jiwanram Sheoduttrai Industries Limited,20,"-"
KALANA,SM,Kalana Ispat Limited,20,"-"
KATARIA,SM,Kataria Industries Limited,20,"-"
KHFM,SM,Khfm Hospitality And Facility Management Services Limited,20,"-"
KLL,SM,Kaushalya Logistics Limited,20,"-"
KONSTELEC,SM,Konstelec Engineers Limited,20,"-"
KOTYARK,SM,Kotyark Industries Limited,20,"-"
LAWSIKHO,SM,Addictive Learning Technology Limited,20,"-"
LLOYDS,SM,Lloyds Luxuries Limited,20,"-"
MACOBSTECH,SM,Macobs Technologies Limited,20,"-"
MADHAVBAUG,SM,Vaidya Sane Ayurved Laboratories Limited,20,"-"
MADHUSUDAN,SM,Madhusudan Masala Limited,20,"-"
MAGSON,SM,Magson Retail And Distribution Limited,20,"-"
MAHICKRA,SM,Mahickra Chemicals Limited,20,"-"
MAL,SM,Mangalam Alloys Limited,20,"-"
MARCO,SM,Marco Cables & Conductors Limited,20,"-"
MARINETRAN,SM,Marinetrans India Limited,20,"-"
MASON,SM,Mason Infratech Limited,20,"-"
MAXPOSURE,SM,Maxposure Limited,20,"-"
MDL,SM,Marvel Decor Limited,20,"-"
MHHL,SM,Mohini Health & Hygiene Limited,20,"-"
MICROPRO,SM,Micropro Software Solutions Limited,20,"-"
MVKAGRO,SM,M.V.K. Agro Food Product Limited,20,"-"
MWL,SM,Mangalam Worldwide Limited,20,"-"
MYMUDRA,SM,My Mudra Fincorp Limited,20,"-"
NAMOEWASTE,SM,Namo eWaste Management Limited,20,"-"
NEWJAISA,SM,Newjaisa Technologies Limited,20,"-"
NIDAN,SM,Nidan Laboratories And Healthcare Limited,20,"-"
ONDOOR,SM,On Door Concepts Limited,20,"-"
OSELDEVICE,SM,Osel Devices Limited,20,"-"
PARAGON,SM,Paragon Fine and Speciality Chemical Limited,20,"-"
PARAMATRIX,SM,Paramatrix Technologies Limited,20,"-"
PARTYCRUS,SM,Party Cruisers Limited,20,"-"
PCCL,SM,Petro Carbon and Chemicals Limited,20,"-"
PELATRO,SM,Pelatro Limited,20,"-"
PENTAGON,SM,Pentagon Rubber Limited,20,"-"
PHANTOMFX,SM,Phantom Digital Effects Limited,20,"-"
PHOGLOBAL,SM,Phoenix Overseas Limited,20,"-"
PLADAINFO,SM,Plada Infotech Services Limited,20,"-"
POLYSIL,SM,Polysil Irrigation Systems Limited,20,"-"
POSITRON,SM,Positron Energy Limited,20,"-"
PPSL,SM,Picturepost Studios Limited,20,"-"
PRECISION,SM,Precision Metaliks Limited,20,"-"
PRESSTONIC,SM,Presstonic Engineering Limited,20,"-"
PRLIND,SM,Premier Roadlines Limited,20,"-"
PROPEQUITY,SM,P. E. Analytics Limited,20,"-"
PROV,SM,Proventus Agrocom Limited,20,"-"
PSFL,SM,Paramount Speciality Forgings Limited,20,"-"
PURVFLEXI,SM,Purv Flexipack Limited,20,"-"
QMSMEDI,SM,Qms Medical Allied Services Limited,20,"-"
QUESTLAB,SM,Quest Laboratories Limited,20,"-"
QUICKTOUCH,SM,Quicktouch Technologies Limited,20,"-"
RADIOWALLA,SM,Radiowalla Network Limited,20,"-"
RAJINDLTD,SM,Rajputana Industries Limited,20,"-"
RAPPID,SM,Rappid Valves (India) Limited,20,"-"
RBS,SM,Ramdevbaba Solvent Limited,20,"-"
RCDL,SM,Rajgor Castor Derivatives Limited,20,"-"
REMUS,SM,Remus Pharmaceuticals Limited,20,"-"
RITEZONE,SM,Rite Zone Chemcon India Limited,20,"-"
RNFI,SM,RNFI Services Limited,20,"-"
ROCKINGDCE,SM,Rockingdeals Circular Economy Limited,20,"-"
ROXHITECH,SM,Rox Hi Tech Limited,20,"-"
SABAR,SM,Sabar Flex India Limited,20,"-"
SADHAV,SM,Sadhav Shipping Limited,20,"-"
SAHAJ,SM,Sahaj Fashions Limited,20,"-"
SAHANA,SM,Sahana System Limited,20,"-"
SAHASRA,SM,SAHASRA ELECTRONIC SOLUTIONS LIMITED,20,"-"
SAROJA,SM,Saroja Pharma Industries India Limited,20,"-"
SATIPOLY,SM,Sati Poly Plast Limited,20,"-"
SCML,SM,Sharp Chucks and Machines Limited,20,"-"
SDREAMS,SM,S D Retail Limited,20,"-"
SERVICE,SM,Service Care Limited,20,"-"
SHANTHALA,SM,Shanthala FMCG Products Limited,20,"-"
SHERA,SM,Shera Energy Limited,20,"-"
SHREEOSFM,SM,Shree OSFM E-Mobility Limited,20,"-"
SHRITECH,SM,Shri Techtex Limited,20,"-"
SIGNORIA,SM,Signoria Creation Limited,20,"-"
SKP,SM,Skp Bearing Industries Limited,20,"-"
SONAMAC,SM,Sona Machinery Limited,20,"-"
SPCL,SM,Shivalic Power Control Limited,20,"-"
SPECTSTM,SM,Spectrum Talent Management Limited,20,"-"
SPPPOLY,SM,SPP Polymer Limited,20,"-"
SRIVASAVI,SM,Srivasavi Adhesive Tapes Limited,20,"-"
SUNLITE,SM,Sunlite Recycling Industries Limited,20,"-"
SUNREST,SM,Sunrest Lifescience Limited,20,"-"
SURANI,SM,Surani Steel Tubes Limited,20,"-"
SWASTIK,SM,Swastik Pipe Limited,20,"-"
SYLVANPLY,SM,Sylvan Plyboard (India) Limited,20,"-"
SYNOPTICS,SM,Synoptics Technologies Limited,20,"-"
SYSTANGO,SM,Systango Technologies Limited,20,"-"
TCL,SM,Thaai Casting Limited,20,"-"
THESL,SM,Thinking Hats Entertainment Solutions Limited,20,"-"
TRANSTEEL,SM,Transteel Seating Technologies Limited,20,"-"
TRIDHYA,SM,Tridhya Tech Limited,20,"-"
TROM,SM,Trom Industries Limited,20,"-"
TUNWAL,SM,Tunwal E-Motors Limited,20,"-"
UCL,SM,Ushanti Colour Chem Limited,20,"-"
UMA,SM,Uma Converter Limited,20,"-"
UNIHEALTH,SM,Unihealth Consultancy Limited,20,"-"
UNILEX,SM,Unilex Colours and Chemicals Limited,20,"-"
USASEEDS,SM,Upsurge Seeds Of Agriculture Limited,20,"-"
VDEAL,SM,Vdeal System Limited,20,"-"
VIESL,SM,Vision Infra Equipment Solutions Limited,20,"-"
VILINBIO,SM,Vilin Bio Med Limited,20,"-"
VINSYS,SM,Vinsys It Services India Limited,20,"-"
VISAMAN,SM,Visaman Global Sales Limited,20,"-"
VISHWAS,SM,Vishwas Agri Seeds Limited,20,"-"
WINNY,SM,Winny Immigration & Education Services Limited,20,"-"
WINSOL,SM,Winsol Engineers Limited,20,"-"
WOL3D,SM,Wol 3D India Limited,20,"-"
WTICAB,SM,Wise Travel India Limited,20,"-"
YASHOPTICS,SM,Yash Optics & Lens Limited,20,"-"
YCCL,SM,Yasons Chemex Care Limited,20,"-"
ZEAL,SM,Zeal Global Services Limited,20,"-"
