SECURITY,NEW,PREVIOUS,NEW_STATUS
21ST CENTURY MGMT SERVICE,117.89,115.58,H
PREMIER POLYFILMS LTD,332.07,179,H
TORRENT POWER LTD,1993,1984.7,H
SIL INVESTMENTS LIMITED,743.05,689,H
SGB2.50%MAY2025SR-I 17-18,8552,8399.99,H
SURAJ ESTATE DEVELOPERS L,828,808,H
2.50%GOLDBONDS2029SR-XI,8248,8205,H
TAC INFOSEC LIMITED,776.55,739.6,H
SEC RE NCD SR IV,1015,1009,H
FOCE INDIA LIMITED,1735,1725,H
A B INFRABUILD LIMITED,86.1,82.8,H
SEC RE NCD 9.30% SR.I,1065.2,1062.8,H
ADITYA BIRLA REAL EST LTD,3125,2967,H
LIBERTYSHOESLTD,569.6,569.45,H
HIND RECTIFIER LIMITED,1174.65,1130,H
KALYANI INVEST CO LTD,7466.2,7127.6,H
KCK INDUSTRIES LTD,293.95,293.9,H
UNIVASTU INDIA LIMITED,250.5,239.73,H
DOMS INDUSTRIES LIMITED,3038.6,2975,H
INTERARCH BUILDING PROD L,1705,1671,H
SEC RE NCD 10.25% SR XII,1000,990,H
SEC RE NCD 9.90% SR VII,1015.58,1015,H
LE MERITE EXPORTS LIMITED,206.9,205.75,H
EMKAY GLOBAL FIN SERV LTD,272.5,267.16,H
PRUDENTIAL SUGAR CORPORAT,72.91,71.49,H
DIC INDIA LIMITED,801.9,795,H
HERCULES HOI. LTD.,253,242.35,H
VINYAS INNOVATIVE TECH L,806.8,799.95,H
NALWA SONS INVESTMENT LTD,7350,6363,H
2.50%GOLDBONDS 2025 SR-X,8265,8255,H
TARAPUR TRANSFORMERS LTD,27.94,27.4,H
SANGANI HOSPITALS LIMITED,73.5,46.7,H
GOPAL SNACKS LIMITED,487,481,H
SEC RE NCD SR III,1033.75,1031.6,H
SEC RE NCD SR.V,1150,1126,H
PRANIK LOGISTICS LIMITED,87.05,82.95,H
PILANI INV & IND COR LTD,6340,5899,H
INDO TECH TRANSFORM LTD.,2624.6,2499.65,H
SUPREME INFRA. LTD,124.75,122.31,H
E FACTOR EXPERIENCES LTD,294,289,H
RAMDEVBABA SOLVENT LTD,119.9,113.65,H
KOTAK GOLD ETF,65.65,65.04,H
AYM SYNTEX LIMITED,240.89,236.17,H
SEC RE NCD 9.25% SR.VII,1018.4,993.55,H
PENNAR INDUSTRIES LTD,210.35,204.12,H
BANARAS BEADS LTD,154,132.34,H
RITCO LOGISTICS LIMITED,409,406.7,H
NILA SPACES LIMITED,12.95,12.5,H
2.50%GOLDBONDS2027SR-II,8240,8200,H
HDFCAMC - HDFCQUAL,66.03,65.7,H
INDO THAI SEC LTD,966.5,947.55,H
KAVVERI TEL. LTD.,55.88,54.79,H
RAGHAV PRODUCTIVITY ENH L,1415,1390,H
SEC RE NCD 9.65% SR IV,1010.12,1009.32,H
20 MICRONS LTD,306.45,291.9,H
SOLAR ACT RS.3.50 PPD UP,518,493.7,H
HVAX TECHNOLOGIES LIMITED,691.65,658.75,H
HARRISONS MALAYALAM,301.7,295.8,H
LCC INFOTECH LTD,10.97,10.76,H
ANAND RATHI WEALTH LTD,4374.65,4299.95,H
VISHNU PRAKASH R PUNGLI L,324.85,306.85,H
2.50%GOLDBONDS2029SR-VIII,8434.2,8400,H
ICICI PRUDENTIAL GOLD ETF,69.72,68.8,H
INFOLLION RESEARCH SER L,385,367.65,H
ZERODHAAMC - LIQUIDCASE,108,107.95,H
UNSEC RED NCD SR. VI,1658,1650,H
E2E NETWORKS LIMITED,3829.65,3829,H
DIAMOND POWER INFRA LTD,1899.95,1831.95,H
SEC RE NCD SR.VI,1130,1129.5,H
SEC RE NCD SR. IV,1200,1175,H
ARIHANT ACADEMY LIMITED,230,229.3,H
JSW HOLDINGS LIMITED,9822,9600,H
SAB EVENTS & GOVERNANCE,15.77,15.47,H
ALLDIGI TECH LIMITED,1147.9,1122.95,H
URBAN ENVIRO WASTE MGMT L,439.8,437.85,H
AMEYA PRECISION ENG LTD,107.15,105,H
ADITYA BIRLA MONEY LTD,177.44,173.97,H
MULTI COMMODITY EXCHANGE,6605.95,6590,H
IIFL SECURITIES LIMITED,448.95,445.55,H
TV VISION LIMITED,17.9,17.55,H
DELPHI WORLD MONEY LTD,291.7,289,H
SEC RE NCD 11% SR.V,1063.95,1061,H
CHAMAN METALLICS LIMITED,131,128.1,H
MAHAMAYA STEEL INDS LTD,220.05,219.52,H
LATTEYS INDUSTRIES LTD,47.65,45.5,H
SRI ADHIKARI BRO TELE N L,1110.65,1088.9,H
GRASIM RE. 1 PPD UP,1926.55,1910,H
ESSEN SPECIALITY FILMS L,686.85,674.95,H
BOMBAY METRICS S C LTD,63.6,65.55,L
NAMO EWASTE MANAGEMENT L,163.5,164,L
SAMMAAN CAPITAL LIMITED,136.57,139.67,L
SARASWATI SAREE DEPOT LTD,136.36,137,L
UMANG DAIRIES LIMITED,90,90.17,L
SOLVE PLASTIC PRODUCTS L,56,56.9,L
ICICIPRAMC - OILIETF,12,12.08,L
DIGIDRIVE DISTRIBUTORS L,42.8,43.33,L
CONS. CONST. CONSORT LTD,21.13,21.57,L
CADSYS (INDIA) LIMITED,151.6,154.7,L
EASY TRIP PLANNERS LTD,31.56,31.6,L
MEP INFRA. DEVELOPERS LTD,3.26,3.44,L
QUEST LABORATORIES LTD,98,100,L
MCNALLY BH. ENG. CO.LTD,4.57,4.6,L
GACM TECHNOLOGIES LIMITED,0.71,0.75,L
KALANA ISPAT LIMITED,40.85,41.4,L
WOL 3D INDIA LIMITED,152,153,L
SAKUMA EXPORTS LIMITED,4.26,4.3,L
PODDAR HOUSE & DVPT LTD,69.03,69.25,L
POPULAR VEHICLES N SER L,190.74,195,L
MARINETRANS INDIA LIMITED,20.75,23.3,L
DOCMODE HEALTH TECH LTD,89.7,89.9,L
FUTURE SUPP CHAIN SOL LTD,1.94,1.96,L
PRIZOR VIZTECH LIMITED,152,157,L
ENVIROTECH SYSTEMS LTD,99.15,108.85,L
AUSTRALIAN PREM SOLAR I L,548.9,560.1,L
UNILEX COLOURS AND CHEM L,78,81,L
GROWWAMC - GROWWDEFNC,65,65.18,L
VIP CLOTHING LIMITED,41.39,41.48,L
SINCLAIRS HOTELS LIMITED,94,94.01,L
VARDHMAN POLYTEX LTD.,11.09,11.32,L
MY MUDRA FINCORP LIMITED,90.05,90.55,L
BOSS PACKAGING SOLU LTD,57,58,L
RADHIKA JEWELTECH LIMITED,122.82,127.5,L
AKSHAR SPINTEX LIMITED,1.15,1.22,L
SHREE TIRUPATI BALAJEE L,72,72.76,L
TECHINDIA NIRMAN LIMITED,44.26,45.17,L
SONAM LIMITED,79.48,81.11,L
SEC RE NCD 9.05% SR II,1000,1020.1,L
TECHERA ENGINEER (IND) L,176.8,190,L
NARMADA AGROBASE LIMITED,14.65,15.2,L
TAX FREE7.50% SR.104 A,1160,1170,L
FUSION FINANCE LIMITED,207.86,216.01,L
REVATHI EQUIPMENT INDIA L,2201.5,2292.95,L
G-TEC JAINX EDUCATION LTD,45.5,47.87,L
INTENSE TECHNOLOGIES LTD,151.05,152.2,L
ENSER COMMUNICATIONS LTD,282.4,288.15,L
NORTHERN ARC CAPITAL LTD,264.15,266.5,L
SEC RE NCD 9.00% SR I,1005,1019.81,L
PARAMOUNT SPECIALI FORG L,71.15,72.8,L
SDL AS 7.78% 2034,100.09,100.1,L
LMW LIMITED,15951,16483,L
SUNGARNER ENERGIES LTD,593.55,605.65,L
GARUDA CONSTRUCT N ENG L,100,100.36,L
BANNARI AM SPIN MILL LTD.,53.51,53.65,L
AXITA COTTON LIMITED,14.98,15.05,L
HLE GLASCOAT LIMITED,378.75,378.95,L
VARANIUM CLOUD LIMITED,19.1,19.4,L
VAISHALI PHARMA LIMITED,19.1,31.7,L
SECUR CREDENTIALS LIMITED,4.18,4.41,L
SEC RE NCD 9.65% SR I,901,931,L
GOI LOAN 8.83% 2041,114,115.11,L
GROWWAMC - GROWWEV,32.4,32.51,L
CUPID LIMITED,76.1,77,L
PARAMATRIX TECHNOLOGIES L,96.55,100,L
BIKEWO GREEN TECH LIMITED,33.25,33.65,L
INDO US BIOTECH LTD,250,252,L
PARAMOUNT DYE TEC LIMITED,80.5,84.7,L

